,formula,Eform
0,Ag(AuS)2,-0.060644610677087006
1,Ag(Bi2S3)3,-0.359322325279947
4,Ag(Mo3S4)2,-0.710917151944446
5,Ag(Mo3Se4)2,-0.523919851944447
6,Ag(MoSe)3,-0.39902907174107205
7,Ag(Te5Au2)2,-0.063283909916655
8,Ag(TeMo)6,-0.26484184576923103
9,Ag(W3Br7)2,-0.8251726423412681
11,Ag10Te4Br3,-0.366431655490194
12,Ag10Te4BrCl,-0.33069498614583104
15,Ag13(BiI4)14,-0.6267792782128511
16,Ag13Bi15I64,-0.5484598862137681
17,Ag15(BiI4)16,-0.62567102036842
18,Ag15Bi7I40,-0.44390911475806405
19,Ag15S5I4Br,-0.277351580299998
20,Ag2(RhS)15,-0.46249553871872706
21,Ag2Bi2S3Cl2,-0.7483002703703701
22,Ag2Bi2SeS3,-0.25843445743055604
23,Ag2BiSb(TeSe)2,-0.32729042141927
24,Ag2BiSbSe4,-0.22952493848958602
25,Ag2BiSbTe4,-0.277884851249999
26,Ag2Br3,-0.589244397666665
27,Ag2Cl3,-0.499390825499999
29,Ag2HgI4,-0.512362546547618
33,Ag2HgS2,-0.24986713716666603
34,Ag2HgSI2,-0.44160478972222206
35,Ag2PbI4,-0.558193473333332
36,Ag2PdCl4,-0.5746215314285701
41,Ag2S,-0.223968058819444
60,Ag2Se,-0.13333801052083202
67,Ag2SnBiS4,-0.28337654171874804
68,Ag2SnBiSe4,-0.267650979218768
69,Ag2SnHgS4,-0.469528931979166
70,Ag2SnHgSe4,-0.47488669315104204
71,Ag2SnSe3,-0.28644151640624904
74,Ag2Te,-0.09518987166666601
78,Ag2TeS3,-0.078949780572917
79,Ag2WS4,-0.33650749843750005
80,Ag3(Bi2Br3)7,-0.7519538380263161
82,Ag3AuS2,-0.09499693510416701
84,Ag3AuSe2,-0.14919083427083002
85,Ag3AuSeS,-0.040098596562505
86,Ag3Bi7S12,-0.351237027064392
87,Ag3Bi8S13,-0.33329704461372
88,Ag3BiBr6,-0.49209170049999906
90,Ag3Br,-0.042939627499998
91,Ag3Cl,-0.02073470645833
92,Ag3S,0.061218283880212006
94,Ag3SBr,-0.34032987749999805
97,Ag3SI,-0.260465865499998
110,Ag3SbS3,-0.20678933263392502
111,Ag3SbTe4,-0.193561908958332
113,Ag3Se,-0.029397497057289
114,Ag3Te2Au,-0.10585073750000101
115,Ag3Te32Au13,-0.088411267239569
116,Ag4AuS2,0.06848232526785701
117,Ag4Hg4S4BrCl3,-0.597054644479167
118,Ag4Hg5S5IBrCl2,-0.523631087592593
119,Ag4SI,0.000285668472223
120,Ag4Sn2(HgSe3)3,-0.45372355473669
121,Ag4Sn3S8,-0.331556197333336
122,Ag5(Sn3S8)2,-0.32798291154514103
123,Ag5Au3S4,-0.096961325243057
125,Ag5Sb23(PbS4)12,-0.567398341571968
126,Ag5SbS4,-0.16497965362500203
127,Ag5Te2Br,-0.310763617083332
129,Ag5Te2Cl,-0.23762317500000302
130,Ag6Au2Se3S,-0.01587173291666
131,Ag6S2IBr,-0.28451096549999805
132,Ag7(SI)2,-0.130662885151513
134,Ag7Te4,0.141600593113637
136,Ag8SnS6,-0.20496340979166602
137,Ag8SnSe6,-0.21050978895833203
138,Ag9(SI)4,-0.206386471470586
139,Ag9Te4Br3,-0.32156099541666505
140,AgAuCl4,-0.45443635000000104
141,AgAuS2,0.042853256093746
142,AgBi2S3Cl,-0.707342042023809
143,AgBi2Se3Cl,-0.49585717090774606
144,AgBi3PbS6,-0.598810868787878
145,AgBi3S5,-0.372202277673611
146,AgBiI4,-0.6252693061111111
147,AgBiPbS3,-0.5514059090277761
148,AgBiS2,-0.29191600432291404
153,AgBiSCl2,-0.9455932878333341
156,AgBiSe2,-0.32030861244791703
158,AgBiSeS,-0.20779339595485802
159,AgBiTe2,-0.188120816458337
163,AgBiTe3Pb,-0.260800182083329
164,AgBiTeSe,-0.19139020476562502
167,AgBr,-0.6596210383333321
189,AgCl,-0.568439933749999
170,AgHgSBr,-0.544299855416667
171,AgHgSI,-0.426432127916667
180,AgI,-0.46775989833333204
182,AgI2,-0.299594967222221
183,AgMo12PbS16,-0.9030155527222221
184,AgMo6(SeS)4,-0.603789096944444
185,AgMo6Br13,-0.995895149583333
186,AgMo6Cl13,-1.029996517375002
187,AgPb2Br5,-1.099094383333332
193,AgPd3Se,-0.19395688359027402
194,AgSb(PbS2)2,-0.534248575208331
195,AgSb(Te8Pb7)2,-0.559763038697914
196,AgSb3PbS6,-0.5472571222537861
202,AgSbPbS3,-0.537381230694443
209,AgSbS2,-0.250111398906248
211,AgSbSe2,-0.21189562828125103
214,AgSbSeS,-0.143536025156247
219,AgSbTe2,-0.291437181249998
222,AgSbTe3Pb,-0.36829673027777604
223,AgSbTeSe,-0.298649990169269
224,AgSe,-0.09097982345052101
225,AgSe3I,-0.17101233173958202
226,AgSe5,0.102818451471352
227,AgSnS2,-0.273756720572913
228,AgSnSe2,-0.33394916828124704
229,AgSnTe2,-0.142879760729165
230,AgTe,-0.07075093374999801
231,AgTe2Au,0.112651950208334
233,AgTe3,-0.017118973749997
234,AgTe3I,-0.16816866833333202
235,AgTe4Au,-0.095523587500001
236,AgW3Br7,-0.817787528106059
237,Al(Ag3S2)3,-0.260239715742185
238,Al(Ag3Se2)3,-0.291738269648437
239,Al(BiCl)4,-1.103487203055556
240,Al(CoS2)2,-0.659299016517853
242,Al(CuS2)3,-0.19861206279166702
243,Al(CuSe2)3,-0.181151561937497
245,Al(FeS2)2,-0.848194870714284
246,Al(ICl2)3,-1.08107135225
247,Al(MoS2)12,-0.782854547157657
251,Al(MoS2)4,-0.93897091767949
252,Al(NiS2)2,-0.713075109285715
253,Al(SeCl)4,-0.843153536805556
254,Al(SeCl2)2,-1.069165520446427
255,Al(TeCl2)2,-1.1156219646428571
256,Al(VS2)4,-1.287627906923076
259,Al12ZnS19,-1.063253166253255
260,Al13(CuS8)3,-0.9714250136848941
261,Al13(CuSe8)3,-0.7696538866328121
262,Al14(CuS8)3,-1.072241362864586
263,Al14(CuSe8)3,-0.8418800285708851
264,Al2(CuS2)3,-0.6377375993087111
265,Al2(CuSe2)3,-0.507529971761365
266,Al2(ZnS2)3,-1.083664459845778
267,Al2Ag2Bi2S3Cl8,-1.3475888879901952
268,Al2Bi7Ru(BrCl4)2,-1.107761786000001
270,Al2BiS4,-1.026826849464285
271,Al2BiSe4,-0.8726628287500011
272,Al2CdBr8,-1.4495020240909091
273,Al2CdCl8,-1.5805851863636362
274,Al2CdS4,-1.147233041607143
276,Al2CdSe4,-1.075488398482142
278,Al2CdTe4,-0.582113531428575
279,Al2CoCl8,-1.420575360909091
281,Al2Cr3CuS8,-1.1090711564285711
282,Al2CrCl8,-1.571660076060602
283,Al2CrS4,-1.153561719999999
284,Al2Cu2Bi2S3Cl8,-1.349249576911765
285,Al2CuCl8,-1.4039510040909091
287,Al2FeS4,-1.060090002857141
342,Al2Hg3Cl8,-1.26388935826923
344,Al2Hg5Se8,-0.486445836666659
346,Al2HgS4,-1.106310683214292
348,Al2HgSe4,-0.825231304821429
349,Al2HgTe4,-0.47700404821428505
350,Al2NiCl8,-1.48517698590909
310,Al2PbS4,-1.233530308571437
312,Al2PbSe4,-0.9435391144642841
313,Al2PdCl8,-1.371736569545455
315,Al2S3,-1.236956223687499
291,Al2Sb5(Se2Br3)3,-1.013061592116477
292,Al2Se3,-1.0088235364375011
297,Al2Te2Cl7,-1.32282830340909
300,Al2Te3,-0.559024813749999
301,Al2Te5,-0.40193999714285505
302,Al2VCl8,-1.6701747172727281
304,Al2Zn(SeS)2,-1.191555289955357
320,Al2Zn2S5,-1.127193869895833
332,Al2ZnS4,-1.190503468035713
335,Al2ZnSe4,-1.100773949910713
336,Al2ZnTe4,-0.7049379838095231
337,Al3(MoS2)8,-0.8686606361851821
339,Al3Bi5Br12,-1.1272806475000041
340,Al3Bi5Cl12,-1.472460161249999
341,Al3Bi5I12,-0.7034518745
351,Al3Te3Br,-0.6372583432142851
352,Al3Te3I,-0.5306426749999991
353,Al4(BiS4)3,-0.623697197102525
354,Al4(BiSe4)3,-0.53634152921875
355,Al4CrS8,-1.111500045384614
356,Al4InAgS8,-1.001998377797617
357,Al4InAgSe8,-0.8813140376785701
358,Al4InAgTe8,-0.496294700607153
359,Al4InCuS8,-1.044429628095243
376,Al4ZnS7,-1.154505132335067
377,Al5(BiS4)3,-0.8052837649166631
379,Al5(BiSe4)3,-0.648936080062503
380,Al5AgS8,-1.111908254583328
381,Al5CuS8,-1.167115974464285
382,Al5CuSe8,-0.9072566873214271
383,Al5S8,-1.109359496346152
384,Al5Se8,-0.9269002710877421
386,Al6SnTe10,-0.6946291857843131
387,Al7Te10,-0.546650040882354
