,formula,Eform
37,CsI2Br,-1.055588396163791
144,LiI,-1.422324364166667
256,SnI4,-0.6773522655
205,PbBr2,-1.293377115833332
30,CsCl,-2.171597246249998
9,Cs2Pb(ICl)2,-1.709331011330049
59,CsPb2I5,-1.097307919331895
177,NaLi2Cl3,-2.001847308472221
87,K2PbCl5,-1.556820420546873
207,Rb2PbCl5,-1.7038104240624992
140,LiCl,-2.021952504583333
136,KSnI3,-1.124100621950002
230,RbPbBr3,-1.612416807500002
84,K2BrCl,-2.129546822374999
178,NaSn2Cl5,-1.311803290625
54,CsLiICl,-1.657623481997126
46,CsLi2I3,-1.5072624035536402
258,SnIBr,-0.940163313333333
114,KI,-1.669989291124999
215,Rb4PbBr6,-1.843945469090908
160,Na4LiCl5,-2.023896498416667
10,Cs2PbBr6,-1.477051876590038
232,RbPbCl3,-1.866758507500001
247,SnBrCl,-1.195650905
50,CsLiBr2,-1.936695364497127
166,NaCl,-2.03840117125
237,RbSnBr3,-1.523623851999997
97,K3(PbCl4)2,-1.5951172186057732
154,Na3BrCl2,-2.007491966522988
174,NaLi4Cl5,-2.014551683416667
20,Cs3LiBr4,-1.9514935659123562
24,Cs4PbBr6,-1.874402509874607
152,Na2LiCl3,-2.009625582361111
156,Na3Cl,-0.869805835625
27,CsBr,-2.051713427327584
76,CsSnBr3,-1.572084271431037
163,NaBr,-1.835072033189654
151,Na2Cl,-1.254793016350574
38,CsI3,-1.113519470538793
175,NaLiCl2,-1.996388499166666
129,KPbI3,-1.206837611949997
63,CsPbBr3,-1.634369591431033
23,Cs3LiI4,-1.634236638412356
95,K2SnCl6,-1.859705102166665
41,CsKICl,-1.926184725476293
133,KSn2Cl5,-1.635379236531252
91,K2SnBr6,-1.544271811611111
3,Cs2Li3Br5,-1.9093257144310352
213,Rb3I2Br,-1.800152451249998
58,CsPb2Cl5,-1.7664631599569
162,Na5BrCl4,-2.042080057189655
12,Cs2SnBr6,-1.609659967145594
105,K5BrCl4,-2.198903494124999
217,Rb6Pb5Cl16,-1.86888093
251,SnCl4,-1.025306462999999
240,RbSnCl3,-1.7827857145000001
96,K3BrCl2,-2.168188527791666
118,KICl4,-1.21680677370833
244,SnBr2,-1.173346578333331
98,K3I2Br,-1.780710719458333
234,RbPbI3,-1.235946820000001
219,RbBr3,-1.014657263125
228,RbPb2Br5,-1.484788659687499
212,Rb3Br2Cl,-2.095129898749999
183,PbCl2,-1.308738062500002
75,CsSn2Cl5,-1.3908436603125
147,Na2BrCl,-1.961779251939655
102,K4NaCl5,-2.129072357749999
157,Na3Cl2,-1.462019042310345
220,RbCl,-2.24486944375
109,KCl,-2.175260748125
74,CsSn2Br5,-1.396666334956897
72,CsPbI3,-1.263226744931036
16,Cs3Li2Br5,-1.944011396063218
211,Rb2SnI6,-1.115195106666668
255,SnI3,-0.558575128749999
25,Cs4PbCl6,-2.096315506692791
19,Cs3Li2I5,-1.58983028506322
126,KPb2Br5,-1.47434131903125
79,CsSnCl3,-1.577583273000002
124,KNaCl2,-2.087182634687499
4,Cs2Li3I5,-1.533600311431036
259,SnICl,-1.074587249999999
135,KSnBr3,-1.4990104179499981
8,Cs2LiI3,-1.613307736273948
108,KBr3,-1.026503390562499
209,Rb2SnBr6,-1.5713690522222201
134,KSn2I5,-0.961932024656249
176,NaLiICl,-1.699845084928159
14,Cs2SnI6,-1.163201927145591
180,PbBrCl,-1.411569416666664
18,Cs3Li2Cl5,-2.100931613583332
208,Rb2PbCl6,-1.706264286111111
146,LiSnCl3,-1.687654304666665
223,RbI,-1.6958504512500001
65,CsPbCl3,-1.88679431093104
13,Cs2SnCl6,-1.7082079072222212
210,Rb2SnCl6,-1.8884658099999991
216,Rb5(Pb3Cl8)2,-1.7529655487962952
55,CsNaICl,-1.770732284008621
104,K5Br4Cl,-2.060305979624999
2,Cs2IBrCl6,-1.215834425931034
214,Rb3PbCl5,-2.028766747777778
241,RbSnI3,-1.152261604499999
56,CsPb2Br5,-1.500950879331894
171,NaI,-1.450042413189654
6,Cs2LiBr3,-1.961647589607278
225,RbI3,-1.074112831874999
22,Cs3LiCl4,-2.084680364583336
169,NaCl7,-0.22225052218750002
51,CsLiCl2,-2.116468611041666
7,Cs2LiCl3,-2.10998538402778
82,CsSnI3,-1.181536319931034
249,SnCl2,-1.055039141666666
226,RbLiBr2,-1.927431892708333
0,Cs2BrCl,-2.096901866077586
47,CsLi3Br4,-1.838447288081896
39,CsI4,-0.9757700474310381
86,K2NaCl3,-2.109727897499999
186,PbCl4,-0.6938693730000011
123,KNa4Cl5,-2.051654470625
48,CsLi3Cl4,-2.045270727187495
29,CsBr3,-1.378872292413793
203,PbIBr,-1.065245913333332
119,KLiICl,-1.745455633895833
43,CsLi2Br3,-1.8925148618869732
222,RbBr,-2.02858637625
88,K2PbCl6,-1.445836170277776
227,RbLiCl2,-2.1881100914583342
44,CsLi2Cl3,-2.089566094722221
40,CsICl2,-1.414317306163793
161,Na5Br4Cl,-1.881407762689654
132,KSn2Br5,-1.364866687156252
127,KPb2Cl5,-1.54429492921875
194,PbI2,-0.9218665316666631
252,SnI2,-0.7447498127777771
117,KICl2,-1.377944160249999
125,KNaICl,-1.8104208984073271
36,CsI,-1.729146057327588
131,KRbCl2,-2.2433230486875
246,SnBr4,-1.117422941499999
248,SnCl,-0.550427714374999
53,CsLiI2,-1.551980883872126
89,K2Sn5Cl12,-1.515306261026315
235,RbSn2Br5,-1.381098447812502
139,LiBr,-1.8358945341666661
111,KCl3,-1.035799976562499
