,formula,Eform
83065,Ag10Br3Te4,-0.23799734474004872
86183,Ag12Li12S1Se23,-0.3505540855002784
86182,Ag12Li12S23Se1,-0.4473722187980673
43246,Ag12S13Sb4,-0.24691086662667722
43260,Ag12Sb4Se13,-0.11924061275862066
43286,Ag12Sb4Te13,-0.04073770632183727
66391,Ag1Al1Ba1S3,-1.2043072824233452
66312,Ag1Al1Ba1Se3,-0.99424439625
66754,Ag1Al1Ba1Te3,-0.7418589137499989
68679,Ag1Al1Br1Cl3,-1.3643661586288678
68986,Ag1Al1Br2Cl2,-1.2853077605949863
68792,Ag1Al1Br3Cl1,-1.206314760894439
74916,Ag1Al1Br4,-1.1250846828605574
60731,Ag1Al1Br6,-0.5756846239993769
45275,Ag1Al1Br6Cs2,-1.4345554321995013
44717,Ag1Al1Br6In2,-0.9136361471995016
50366,Ag1Al1Br6K2,-1.3886815991995014
38180,Ag1Al1Br6Rb2,-1.4240307941995016
97029,Ag1Al1Ca1S3,-1.180025424923345
97045,Ag1Al1Ca1Se3,-0.9135859279166662
99044,Ag1Al1Ca1Te3,-0.6016043179166655
103904,Ag1Al1Cd1S3,-0.6780469149233449
103925,Ag1Al1Cd1Se3,-0.4561332895833334
103936,Ag1Al1Cd1Te3,-0.22227211624999832
54651,Ag1Al1Cd2S4,-0.8511254341941785
74873,Ag1Al1Cl4,-1.4530108124960819
60563,Ag1Al1Cl6,-0.8271525451518424
50333,Ag1Al1Cl6Cs2,-1.742091630121474
53035,Ag1Al1Cl6K2,-1.695032234121474
33081,Ag1Al1Cl6Rb2,-1.71914708512147
102687,Ag1Al1Cr1S3,-0.6751837149233454
102700,Ag1Al1Cr1Se3,-0.4078803295833329
102710,Ag1Al1Cr1Te3,-0.14517712291666504
41313,Ag1Al1Cs2I6,-0.9989749562069903
103494,Ag1Al1Cu1S3,-0.5504826682566785
103506,Ag1Al1Cu1Se3,-0.31900267958333295
103518,Ag1Al1Cu1Te3,-0.10806833958333151
104120,Ag1Al1Hg1S3,-0.4856532524177233
104135,Ag1Al1Hg1Se3,-0.304521947077711
104145,Ag1Al1Hg1Te3,-0.12733161041104304
74865,Ag1Al1I4,-0.6875367312022117
60748,Ag1Al1I6,-0.16351847650873785
98817,Ag1Al1Mg1S3,-0.9859129114511239
98830,Ag1Al1Mg1Se3,-0.6958689044444449
98841,Ag1Al1Mg1Te3,-0.37364194444444304
102889,Ag1Al1Ni1S3,-0.5760735682566788
102901,Ag1Al1Ni1Se3,-0.33482821958333336
102914,Ag1Al1Ni1Te3,-0.1414751245833319
104535,Ag1Al1Pb1S3,-0.6796254132566789
104550,Ag1Al1Pb1Se3,-0.47734436791666707
104560,Ag1Al1Pb1Te3,-0.251852482916665
99602,Ag1Al1Pd1S3,-0.566113293256679
99610,Ag1Al1Pd1Se3,-0.3654258295833331
103117,Ag1Al1Pd1Te3,-0.225385554583332
103296,Ag1Al1Pt1S3,-0.48354320659001243
103310,Ag1Al1Pt1Se3,-0.30613718624999997
103320,Ag1Al1Pt1Te3,-0.2137819845833319
49922,Ag1Al1S1Se1,-0.7635681678783399
49955,Ag1Al1S1Te1,-0.603677168711672
96058,Ag1Al1S2,-0.908346145131679
104328,Ag1Al1S3Sn1,-0.6793951960652121
66730,Ag1Al1S3Sr1,-1.1859926232566782
103704,Ag1Al1S3Zn1,-0.7278026515900121
49945,Ag1Al1Se1Te1,-0.4840871827083326
69187,Ag1Al1Se2,-0.6280618468750001
104341,Ag1Al1Se3Sn1,-0.4664566923918674
66762,Ag1Al1Se3Sr1,-0.9670149237499999
103716,Ag1Al1Se3Zn1,-0.46639382125000023
104353,Ag1Al1Sn1Te3,-0.24808884239186568
66862,Ag1Al1Sr1Te3,-0.7046323462499983
13499,Ag1Al1Te1,0.0907103097222232
69230,Ag1Al1Te2,-0.3623837135416652
103727,Ag1Al1Te3Zn1,-0.19767847791666485
82288,Ag1Al2Au1Te4,-0.32823280760416473
70344,Ag1Al2Br2I6,-0.7725625851728701
34624,Ag1Al2Br8,-1.12096216607515
49736,Ag1Al2Cu1Te4,-0.3470483913541651
57266,Ag1Al2I8,-0.6417263351751398
69259,Ag1Al2Li1S4,-1.1714772954441788
69207,Ag1Al2Li1Se4,-0.8660927596874997
49721,Ag1Al2Li1Te4,-0.5409786838541653
49742,Ag1Al2Na1Te4,-0.5193913189606212
59333,Ag1Al2S4,-0.8835659533647754
58431,Ag1Al2Se4,-0.5770855053571425
6736,Ag1Al2Te1,0.290893039791667
58433,Ag1Al2Te4,-0.29466176869047445
95292,Ag1Al3S5,-0.9726887702851977
95271,Ag1Al3Se5,-0.6450768919444442
88143,Ag1Al3Te5,-0.2582097465740725
